secid,date,days,impl_volatility,impl_strike,cp_flag,ticker,index_flag
106276,20000103,30,0.472251,131.4208,C,IBM,0
106276,20000103,30,0.468934,128.3826,C,IBM,0
106276,20000103,30,0.465379,125.7323,C,IBM,0
106276,20000103,30,0.462254,123.3624,C,IBM,0
106276,20000103,30,0.460013,121.1934,C,IBM,0
106276,20000103,30,0.458316,119.1533,C,IBM,0
106276,20000103,30,0.457656,117.1979,C,IBM,0
106276,20000103,30,0.457882,115.2809,C,IBM,0
106276,20000103,30,0.458186,113.3624,C,IBM,0
106276,20000103,30,0.459071,111.4058,C,IBM,0
106276,20000103,30,0.460521,109.3664,C,IBM,0
106276,20000103,30,0.461558,107.2029,C,IBM,0
106276,20000103,30,0.462222,104.8432,C,IBM,0
106276,20000103,60,0.456291,138.6567,C,IBM,0
106276,20000103,60,0.454136,134.3336,C,IBM,0
106276,20000103,60,0.451735,130.5783,C,IBM,0
106276,20000103,60,0.449586,127.2281,C,IBM,0
106276,20000103,60,0.448025,124.1675,C,IBM,0
106276,20000103,60,0.447004,121.3011,C,IBM,0
106276,20000103,60,0.446406,118.5603,C,IBM,0
106276,20000103,60,0.44646,115.89,C,IBM,0
106276,20000103,60,0.447477,113.2343,C,IBM,0
106276,20000103,60,0.449224,110.5334,C,IBM,0
106276,20000103,60,0.450995,107.735,C,IBM,0
106276,20000103,60,0.45235,104.7831,C,IBM,0
106276,20000103,60,0.453339,101.5826,C,IBM,0
106276,20000104,30,0.472411,127.3674,C,IBM,0
106276,20000104,30,0.470675,124.4676,C,IBM,0
106276,20000104,30,0.468532,121.9214,C,IBM,0
106276,20000104,30,0.46619,119.6222,C,IBM,0
106276,20000104,30,0.464609,117.51,C,IBM,0
106276,20000104,30,0.463785,115.5198,C,IBM,0
106276,20000104,30,0.463592,113.6036,C,IBM,0
106276,20000104,30,0.465017,111.7218,C,IBM,0
106276,20000104,30,0.46825,109.8228,C,IBM,0
106276,20000104,30,0.472739,107.8584,C,IBM,0
106276,20000104,30,0.477523,105.7871,C,IBM,0
106276,20000104,30,0.481382,103.5737,C,IBM,0
106276,20000104,30,0.48482,101.1412,C,IBM,0
106276,20000104,60,0.459535,134.5534,C,IBM,0
106276,20000104,60,0.458786,130.3933,C,IBM,0
106276,20000104,60,0.457512,126.753,C,IBM,0
106276,20000104,60,0.455853,123.4743,C,IBM,0
106276,20000104,60,0.454435,120.4664,C,IBM,0
106276,20000104,60,0.453674,117.6499,C,IBM,0
106276,20000104,60,0.453734,114.958,C,IBM,0
106276,20000104,60,0.454993,112.3298,C,IBM,0
106276,20000104,60,0.45803,109.7009,C,IBM,0
106276,20000104,60,0.462667,106.9987,C,IBM,0
