Row Labels,DELL,IBM,MSFT,NFLX
20000103,50.875,115.625,58.28125,
20000104,46.625,112.0625,56.3125,
20000105,49.9375,116,56.90625,
20000106,48,115,55,
20000107,46.1875,113.5,55.71875,
20000110,44.125,118.5,56.125,
20000111,42.8125,118.875,54.6875,
20000112,41.8125,119.625,52.90625,
20000113,43.125,118.25,53.90625,
20000114,44,119.625,56.125,
20000118,42.0625,116,57.65625,
20000119,42.5,120.5,53.5,
20000120,43.75,121.875,53,
20000121,43.75,121.5,51.875,
20000124,41.5625,118,50.625,
20000125,42.125,119.125,51.40625,
20000126,40.375,116.75,49.6875,
20000127,37.5625,113.5,49.375,
20000128,37.25,111.5625,49.125,
20000131,38.4375,112.25,48.9375,
20000201,38.9375,109.9375,51.46875,
20000202,38.125,113.5,50.40625,
20000203,38.5,117.125,51.8125,
20000204,38.5,115.625,53.28125,
20000207,37.625,114.125,53.3125,
20000208,37.0625,119,54.96875,
20000209,35.5625,117.375,52,
20000210,38.79688,119.125,53,
20000211,36.875,115.375,49.96875,
20000214,36.4375,116.0625,49.8125,
20000215,37.875,117.125,49.28125,
20000216,38,115.75,48.8125,
20000217,40.6875,116.75,49.8125,
20000218,40.0625,112.625,47.53125,
20000222,39.8125,111,46.90625,
20000223,41.375,108.75,47.125,
20000224,42.375,110.8125,47.375,
20000225,41.25,105.75,45.65625,
20000228,41,104.5,45.78125,
20000229,40.8125,102.75,44.6875,
20000301,43.01563,100.5,45.40625,
20000302,44.9375,103.25,46.6875,
20000303,46.25,109,48.0625,
20000306,46.75,103.0625,45.3125,
20000307,45.75,102.75,46.4375,
20000308,46.9375,106.125,47.78125,
20000309,50.4375,107.5625,50,
20000310,51.25,105.25,50.5,
20000313,54.75,107.6875,49,
20000314,55.9375,108.9375,47.5625,
20000315,53.6875,107,47.6875,
20000316,55,109,47.6875,
20000317,56.4375,110,49.6875,
20000320,57.6875,112.75,48.6875,
20000321,58,113.5,51.375,
20000322,58.125,114.25,51.625,
20000323,57.5,115.25,55.9375,
20000324,56.4375,121.5,55.84375,
20000327,57.875,126.875,52.03125,
20000328,55.875,122.5,52.15625,
20000329,53.8125,119.5,53.59375,
20000330,52.1875,122.5,51.6875,
20000331,53.9375,118,53.125,
20000403,53.375,121,45.4375,
20000404,54.3125,121.1875,44.28125,
20000405,53.92188,123.625,43.1875,
20000406,51.5625,122.75,43,
20000407,55.1875,123.125,44.53125,
20000410,54.4375,122.125,43.03125,
20000411,55.4375,119,41.9375,
20000412,51.375,113,39.6875,
20000413,51.6875,110.625,39.625,
20000414,47.625,105,37.0625,
20000417,48.75,111.875,37.9375,
20000418,50.5,112,40.28125,
20000419,49.5625,105,39.34375,
20000420,49.9375,104,39.46875,
20000424,47.75,106.5,33.3125,
20000425,51.125,112.75,34.6875,
20000426,50,110.5,34,
20000427,51.75,110.4375,34.90625,
20000428,50.125,111.5,34.875,
20000501,51.0625,111.875,36.71875,
20000502,49.8125,111.375,34.9375,
20000503,49.3125,108.125,35.28125,
20000504,47.25,107.625,35.21875,
20000505,49.875,107.875,35.5625,
20000508,47.9375,109.75,34.90625,
20000509,46.8125,109.5,33.90625,
20000510,44.9375,103,33.09375,
20000511,44.6875,105,33.9375,
20000512,49.875,104.5,34.40625,
20000515,50.5625,104.1875,34.6875,
20000516,49.875,109,34.75,
20000517,49.125,107.875,33.84375,
20000518,47.875,106.0625,33.09375,
20000519,46.9375,106.8125,32.53125,
20000522,45.9375,109,32.09375,
20000523,43.9375,107.375,31.59375,
20000524,45.25,109.625,32.78125,
20000525,43.75,106.5,30.75,
20000526,42.375,106.9375,30.71875,
20000530,44,110.9375,31.6875,
20000531,43.125,107.375,31.28125,
20000601,43.125,106,32.28125,
20000602,43.3125,108.4375,33.15625,
20000605,42.75,112.4375,33.4375,
20000606,44.6875,112.375,34.8125,
20000607,45.25,121,35.25,
20000608,45.3125,119.75,34.40625,
20000609,45.0625,119.6875,34.40625,
20000612,44.875,118.875,33.4375,
20000613,45.0625,119.6875,33.9375,
20000614,46.1875,116,35.25,
20000615,46.9375,116.8125,36.1875,
20000616,47.5,113.25,36.28125,
20000619,49.5625,120,36.84375,
20000620,48.5625,116.3125,37.46875,
20000621,50,114.5,40.34375,
20000622,48.5,111.4375,39.9375,
20000623,47.4375,111.75,38.84375,
20000626,49,115.125,39.75,
20000627,47.8125,109.6875,39.40625,
20000628,49,113.6875,39.46875,
20000629,48.375,114,38.59375,
20000630,49.3125,109.5625,40,
20000703,49.0625,109.875,40,
20000705,47.4375,104,39.25,
20000706,47.75,101.75,40.46875,
20000707,50.6875,104.6875,41,
20000710,49.75,103.3125,39.71875,
20000711,50.75,102.1875,39.5625,
20000712,52.0625,104.4375,40.15625,
20000713,52.9375,103.125,39.96875,
20000714,53.0625,103.9375,39.46875,
20000717,53.5625,105.4375,39.09375,
20000718,53.1875,102.9375,39.25,
20000719,51.375,103.5,36.5625,
20000720,52.8125,117,37.40625,
20000721,52.375,114.4375,36.15625,
20000724,46.4375,112.5,35.28125,
20000725,46.8125,111.75,34.5,
20000726,46.875,109.875,33.90625,
20000727,45.5,110.125,34.6875,
20000728,43.6875,111.8125,34.84375,
20000731,43.9375,112.4375,34.90625,
20000801,41.5625,110.5625,34.34375,
20000802,39.5625,114.6875,34.6875,
20000803,40.9375,116.0625,35.125,
20000804,41.375,115.875,34.5625,
20000807,42.6875,116.3125,35,
20000808,41.6875,118.9375,37.0625,
20000809,41.8125,119.125,37.125,
20000810,41.75,119.75,36.3125,
20000811,37.6875,120.75,36.21875,
20000814,36.6875,123.125,36.09375,
20000815,38.0625,122,35.8125,
20000816,38.4375,120.0625,35.5,
20000817,39.125,122.375,35.78125,
20000818,38.75,120.1875,35.5,
20000821,38.75,121.4375,35.3125,
20000822,37.4375,121.3125,35.625,
20000823,38.6875,123,35.375,
20000824,39,124.8125,35.5625,
20000825,38.625,129.125,35.3125,
20000828,39.5,130.5625,35.65625,
20000829,40.5625,132.875,35.46875,
20000830,39.9375,130.3125,35,
20000831,43.625,132,34.90625,
20000901,43.0625,133.625,35.09375,
20000905,41,131.5625,35.0625,
20000906,39.5,131.4375,34.71875,
20000907,40.1875,133.375,35.03125,
20000908,38.875,129.5,34.65625,
20000911,38.3125,124.75,34.40625,
20000912,37.4375,125,34.0625,
20000913,36.25,127.3125,34.125,
20000914,36.625,126.875,32.90625,
20000915,35.75,124.8125,32.09375,
20000918,34.4375,123.25,31.5,
20000919,36.3125,125.125,32.5,
20000920,38.5625,124.375,32.125,
20000921,37.9375,126.0625,32.09375,
20000922,35.9375,124,31.625,
20000925,34.3125,121.6875,30.625,
20000926,33.625,119.3125,31.34375,
20000927,32.4375,118,30.3125,
20000928,33.4375,117.9375,30.65625,
20000929,30.8125,112.5,30.15625,
20001002,29.25,117.8125,29.5625,
20001003,28.5625,110.5625,28.28125,
20001004,28.1875,114.375,27.71875,
20001005,25.1875,113.1875,27.6875,
20001006,25.3125,116,27.78125,
20001009,25.625,117.9375,27.09375,
20001010,24.25,114.875,27.28125,
20001011,23,112,27.875,
20001012,23.1875,103.125,27.1875,
20001013,27.3125,109.0625,26.875,
20001016,25.35938,111.125,25.1875,
20001017,24.375,113,25.21875,
20001018,26.25,95.4375,25.875,
20001019,28.8125,96.4375,30.9375,
20001020,28.4375,94.75,32.59375,
20001023,27.5,92.875,31.0625,
20001024,26.8125,91.4375,30.75,
20001025,25.875,87.5625,30.625,
20001026,27.75,92.75,32.21875,
20001027,27.9375,93.6875,33.84375,
20001030,28.8125,93.3125,34.53125,
20001031,29.5,98.5,34.4375,
20001101,30.4375,98.5625,34.8125,
20001102,31.8125,101.9375,35.15625,
20001103,32.5625,100.125,34.125,
20001106,31.5,100.3125,34.75,
20001107,32.5625,102.3125,35.25,
20001108,30.3125,100,34.71875,
20001109,28.375,99.4375,35.4375,
20001110,23,93,33.6875,
20001113,24.125,97.4375,33.21875,
20001114,25.8125,99.5,34.40625,
20001115,25.1875,99.375,35.03125,
20001116,24.9375,98.25,34.46875,
20001117,24.9375,101.9375,34.53125,
20001120,23.375,103.25,33.59375,
20001121,23.625,98.5,33.875,
20001122,23,98.5,34.125,
20001124,24.375,99.9375,34.96875,
